food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Baked/steamed fish liking,MI,-0.051015286,Baked/steamed fish liking_MIP,0.641344748,baked/steamed fish,Total Animal Products,>0.05,>0.05
Beef/steak liking,MI,-0.061839078,Beef/steak liking_MIP,0.541194867,beef steak,Total Animal Products,>0.05,>0.05
Fried chicken liking,MI,0.053537398,Fried chicken liking_MIP,0.903313156,fried chicken,Total Animal Products,>0.05,>0.05
Herring liking,MI,0.055039984,Herring liking_MIP,0.903313156,herring,Total Animal Products,>0.05,>0.05
Mackerel liking,MI,0.090989057,Mackerel liking_MIP,0.775792419,mackerel,Total Animal Products,>0.05,>0.05
Pork chop liking,MI,0.046931635,Pork chop liking_MIP,0.903313156,pork chop,Total Animal Products,>0.05,>0.05
Prawns liking,MI,-0.075734752,Prawns liking_MIP,0.318556469,prawns,Total Animal Products,>0.05,>0.05
Red meat liking,MI,-0.120402533,Red meat liking_MIP,0.245808746,red meat,Total Animal Products,>0.05,>0.05
Salmon liking,MI,-0.148800891,Salmon liking_MIP,0.133504111,salmon,Total Animal Products,>0.05,>0.05
Sardines liking,MI,-0.067361083,Sardines liking_MIP,0.42247064,sardines,Total Animal Products,>0.05,>0.05
Shellfish liking,MI,-0.021685168,Shellfish liking_MIP,0.794466258,shellfish (other than prawns),Total Animal Products,>0.05,>0.05
Total fish liking,MI,0.106518624,Total fish liking_MIP,0.903313156,Total fish,Total Animal Products,>0.05,>0.05
Total meat liking,MI,0.027511408,Total meat liking_MIP,0.930580329,Total meat,Total Animal Products,>0.05,>0.05
Total seafood liking,MI,-0.04753955,Total seafood liking_MIP,0.564491828,Total seafood,Total Animal Products,>0.05,>0.05
Total small fish liking,MI,0.07583654,Total small fish liking_MIP,0.903313156,Total small fish,Total Animal Products,>0.05,>0.05
Baked/steamed fish liking,IHD,-0.056729909,Baked/steamed fish liking_IHDP,0.418475322,baked/steamed fish,Total Animal Products,>0.05,>0.05
Beef/steak liking,IHD,0.055032377,Beef/steak liking_IHDP,0.483903045,beef steak,Total Animal Products,>0.05,>0.05
Fried chicken liking,IHD,0.136115448,Fried chicken liking_IHDP,0.041453257,fried chicken,Total Animal Products,<0.05,<0.05
Herring liking,IHD,-0.04374526,Herring liking_IHDP,0.446289931,herring,Total Animal Products,>0.05,>0.05
Mackerel liking,IHD,-0.062706574,Mackerel liking_IHDP,0.243944517,mackerel,Total Animal Products,>0.05,>0.05
Pork chop liking,IHD,-0.003121287,Pork chop liking_IHDP,0.97200815,pork chop,Total Animal Products,>0.05,>0.05
Prawns liking,IHD,-0.121355852,Prawns liking_IHDP,0.006384619,prawns,Total Animal Products,<0.01,<0.01
Red meat liking,IHD,0.049667803,Red meat liking_IHDP,0.540899876,red meat,Total Animal Products,>0.05,>0.05
Salmon liking,IHD,-0.130991942,Salmon liking_IHDP,0.032938641,salmon,Total Animal Products,<0.05,<0.05
Sardines liking,IHD,-0.113520197,Sardines liking_IHDP,0.022259556,sardines,Total Animal Products,<0.05,<0.05
Shellfish liking,IHD,-0.084846306,Shellfish liking_IHDP,0.048436472,shellfish (other than prawns),Total Animal Products,<0.05,<0.05
Total fish liking,IHD,-0.083147888,Total fish liking_IHDP,0.370385371,Total fish,Total Animal Products,>0.05,>0.05
Total meat liking,IHD,0.091115723,Total meat liking_IHDP,0.400126725,Total meat,Total Animal Products,>0.05,>0.05
Total seafood liking,IHD,-0.130042403,Total seafood liking_IHDP,0.005801555,Total seafood,Total Animal Products,<0.01,<0.01
